MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5438.4,127.4,54.3,6.1,2.34,0.01356525,280.506,6.22502328,63.79472153,32.43247017,0.135549052,3.637259246,8.5,0.0054738005604158205,1943.5546326090564,4957.668638557704,1,1129.4354949731883
5438.6,127.6,54.5,8.3,2.34,0.01370925,280.363,6.269277000000001,63.79472153,32.43247017,0.135549052,3.637259246,8.5,0.0054765924890231585,1936.8114229443627,4990.36768987647,1,1129.4354949731883
5438.8,127.8,54.6,4.8,2.34,0.0129195,280.363,6.490545600000001,63.79472153,32.43247017,0.135549052,3.637259246,8.5,0.0054765924890231585,2127.7425287356323,5166.490991663285,1,1129.4354949731883
5439.0,128.0,54.6,4.9,2.34,0.0128925,280.506,6.3209063400000005,63.82860922,31.42215163,0.166379963,4.582859191,8.5,0.0054738005604158205,2076.4706178010474,5034.025763955496,1,1129.4354949731883
5439.2,128.2,54.8,7.9,2.34,0.012683249999999998,280.363,6.158642700000001,63.82860922,31.42215163,0.166379963,4.582859191,8.5,0.0054765924890231585,2056.544119212347,4902.29786970158,1,1129.4354949731883
5439.4,128.4,54.8,4.2,2.34,0.0130725,280.363,6.372535680000001,63.82860922,31.42215163,0.166379963,4.582859191,8.5,0.0054765924890231585,2064.606072289157,5072.557022035175,1,1129.4354949731883
5439.6,128.6,54.9,5.7,2.34,0.013005,280.363,6.180769560000001,63.82860922,31.42215163,0.166379963,4.582859191,8.5,0.0054765924890231585,2012.870200692042,4919.912503837557,1,1129.4354949731883
5439.8,128.8,55.0,6.7,2.34,0.01287,280.363,6.27665262,63.82860922,31.42215163,0.166379963,4.582859191,8.5,0.0054765924890231585,2065.5376783216784,4996.233792712912,1,1129.4354949731883
5440.0,129.0,55.1,4.9,2.34,0.01274175,280.363,6.27665262,63.03720908,32.97712008,0.20821344,3.777457406,8.5,0.0054765924890231585,2086.3280098887517,4996.2330553430875,1,1129.4354949731883
5440.2,129.2,55.2,5.7,2.34,0.013185,280.363,6.2471501400000005,63.03720908,32.97712008,0.20821344,3.777457406,8.5,0.0054765924890231585,2006.7135563139934,4972.751891472349,1,1129.4354949731883
5440.4,129.4,55.3,7.1,2.34,0.01356075,280.506,6.11438898,63.03720908,32.97712008,0.20821344,3.777457406,8.5,0.0054738005604158205,1909.6462717770034,4869.5597741982,1,1129.4354949731883
5440.6,129.6,55.4,5.2,2.34,0.009234,276.645,5.723481120000001,63.03720908,32.97712008,0.20821344,3.777457406,8.5,0.005550195738220463,2625.1490058479535,4495.476558124228,1,1129.4354949731883
5440.8,129.8,55.5,5.5,2.34,0.0163395,280.363,6.3430332,63.03720908,32.97712008,0.20821344,3.777457406,8.5,0.0054765924890231585,1644.1513632608096,5049.092093236897,1,1129.4354949731883
5441.0,130.0,55.6,6.4,2.34,0.015957,280.506,6.47579436,65.47067945,30.76074122,0.033043765,3.735535567,8.5,0.0054738005604158205,1718.8001353637903,5157.395757095046,1,1129.4354949731883
5441.2,130.2,55.7,4.8,2.34,0.016389,280.363,6.57167742,65.47067945,30.76074122,0.033043765,3.735535567,8.5,0.0054765924890231585,1698.2724217462935,5231.091148349442,1,1129.4354949731883
5441.4,130.4,55.8,6.3,2.34,0.01415925,280.363,6.35040882,65.47067945,30.76074122,0.033043765,3.735535567,8.5,0.0054765924890231585,1899.524983314794,5054.950486030959,1,1129.4354949731883
5441.6,130.6,55.9,5.1,2.34,0.01369575,280.506,6.490545600000001,65.47067945,30.76074122,0.033043765,3.735535567,8.5,0.0054738005604158205,2007.145983242977,5169.1306012323475,1,1129.4354949731883
5441.8,130.8,56.0,4.6,2.34,0.013851,280.363,6.46104312,65.47067945,30.76074122,0.033043765,3.735535567,8.5,0.0054765924890231585,1975.6276023391813,5143.012634972406,1,1129.4354949731883
