DEPREAMMD	DEPREAMTVD	ROPA_AVG	WOB_AVG	TORQ_AVG	SURFRPM_AVG	MOTORRPM_AVG	BITRPM_AVG	SPP_AVG	CHKP_AVG	CEMENTP_AVG	SPM01_AVG	SPM02_AVG	SPM03_AVG	PITACTIVE_AVG	FLOWIN_AVG	FLOWOUTP_AVG	DIN_AVG	TIN_AVG	DOUT_AVG	TOUT_AVG
m	m	m/h	kLbf	kLbf.ft	rpm	rpm	rpm	Psi	Psi	Psi	Stk/min	Stk/min	Stk/min	bbl	gal/min	%	ppg	°C	ppg	°C
748.5	748.5	33.54	9.85	1	59	0	58.7	920	0	0	68	72	0	263.274	698	3.37	11.02	33.878	8.61	38.3
748.75	748.74	30.86	9.81	1	59	0	58.7	911	0	0	69	72	0	257.436	705	2.05	11.02	33.885	8.6	38.2
749	748.99	32.92	9.77	1	59	0	58.7	973	0	0	69	72	0	251.593	705	2.77	11.02	33.883	8.59	38.2
749.25	749.24	31.97	9.83	1	59	0	58.7	1048	0	0	69	72	0	247.283	702	2.84	11.02	33.882	8.6	38.2
749.5	749.49	29.6	9.75	1	59	0	58.8	1073	0	0	69	72	0	245.545	704	3.19	11.02	33.886	8.6	37.8
749.75	749.74	30.32	9.87	1	59	0	58.7	1028	0	0	68	71	0	244.682	691	3.29	11.02	33.882	8.6	36.2
750	750	25.76	10	1	59	0	58.8	1007	0	0	67	71	0	247.202	688	4.02	11.02	33.876	8.59	35.9
750.25	750.24	24.33	9.99	1	59	0	58.8	995	0	0	68	71	0	256.475	697	3.3	11.02	33.88	8.6	37.9
750.5	750.49	25.38	10.02	1	59	0	58.8	983	0	0	69	72	0	262.78	703	2.6	11.02	33.879	8.6	38.4
750.75	750.74	26.09	9.99	1	59	0	58.7	961	0	0	69	72	0	260.388	704	3.16	11.02	33.886	8.59	37
751	750.99	26.2	10	1	59	0	58.7	928	0	0	69	72	0	256.138	705	3.1	11.03	33.893	8.6	35.7
751.25	751.24	25.03	9.94	1	59	0	58.8	934	0	0	69	72	0	251.221	705	3.33	11.03	33.89	8.6	35
