Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5347.6,36.6,14.3,6.1,2.57,53.51,265.922,6.9,71.77497307,23.10073693,0.244678296,4.879611704
5347.8,36.8,14.3,4.5,2.57,42.03,267.922,6.52,71.77497307,23.10073693,0.244678296,4.879611704
5348,37,14.4,4.9,2.57,42.47,267.922,6.61,75.25280456,15.46630163,0.201002525,9.079891282
5348.2,37.2,14.5,4.7,2.57,36.24,267.922,6.43,75.25280456,15.46630163,0.201002525,9.079891282
5348.4,37.4,14.5,2.3,2.57,46.87,267.922,6.51,75.25280456,15.46630163,0.201002525,9.079891282
5348.6,37.6,14.7,8,2.57,58.16,267.922,6.73,75.25280456,15.46630163,0.201002525,9.079891282
5348.8,37.8,14.7,5.1,2.56,51.33,267.922,6.52,75.25280456,15.46630163,0.201002525,9.079891282
5349,38,14.8,6,2.56,45.55,267.922,6.56,71.70154838,19.79171282,0.156583525,8.350155278
5349.2,38.2,14.9,4.3,2.56,49.21,267.922,6.5,71.70154838,19.79171282,0.156583525,8.350155278
5349.4,38.4,15,5.4,2.56,54.42,266.922,6.97,71.70154838,19.79171282,0.156583525,8.350155278
5349.6,38.6,15.1,5.5,2.56,43.16,266.922,6.75,71.70154838,19.79171282,0.156583525,8.350155278
5349.8,38.8,15.2,3.6,2.56,51.65,267.922,6.37,71.70154838,19.79171282,0.156583525,8.350155278
5350,39,15.3,6.1,2.56,59.57,267.922,6.83,74.69826345,20.17631624,0.225576939,4.899843368
5350.2,39.2,15.3,5.7,2.55,46.22,267.922,6.73,74.69826345,20.17631624,0.225576939,4.899843368
5350.4,39.4,15.4,3.5,2.56,47.73,267.922,6.83,74.69826345,20.17631624,0.225576939,4.899843368
5350.6,39.6,15.5,4.9,2.56,48.97,267.922,6.48,74.69826345,20.17631624,0.225576939,4.899843368
5350.8,39.8,15.6,4.9,2.56,57.3,267.922,6.56,74.69826345,20.17631624,0.225576939,4.899843368
5351,40,15.7,8.7,2.55,58.12,267.922,6.64,63.48707561,30.70731102,0.084224629,5.721388745
5351.2,40.2,15.8,7,2.54,50.82,267.922,6.54,63.48707561,30.70731102,0.084224629,5.721388745
5351.4,40.4,15.9,4.4,2.54,48.28,267.922,6.73,63.48707561,30.70731102,0.084224629,5.721388745
5351.6,40.6,16,4.2,2.54,50.38,267.922,6.54,63.48707561,30.70731102,0.084224629,5.721388745
5351.8,40.8,16.1,5.7,2.54,49.56,267.922,6.84,63.48707561,30.70731102,0.084224629,5.721388745
5352,41,16.1,4.7,2.54,50.02,267.922,6.65,61.48230923,28.80806982,0.032445605,9.677175339
5352.2,41.2,16.2,3.9,2.54,49.8,267.922,6.42,61.48230923,28.80806982,0.032445605,9.677175339
5352.4,41.4,16.3,5.7,2.54,51.36,267.922,6.42,61.48230923,28.80806982,0.032445605,9.677175339
5352.6,41.6,16.4,7.9,2.53,50.83,268.065,6.38,61.48230923,28.80806982,0.032445605,9.677175339
5352.8,41.8,16.5,5.5,2.53,50.59,267.922,6.4,61.48230923,28.80806982,0.032445605,9.677175339
5353,42,16.7,7.6,2.52,49.61,268.065,6.32,67.46664448,24.73664901,0.153190442,7.643516072
5353.2,42.2,16.8,6.3,2.52,49.29,268.065,6.27,67.46664448,24.73664901,0.153190442,7.643516072
5353.4,42.4,16.8,5,2.52,52.16,267.922,6.52,67.46664448,24.73664901,0.153190442,7.643516072
5353.6,42.6,16.9,5.7,2.51,51.58,267.922,6.48,67.46664448,24.73664901,0.153190442,7.643516072
5353.8,42.8,17,5.4,2.51,20.18,208.306,4.41,67.46664448,24.73664901,0.153190442,7.643516072
5354,43,17.1,5.1,2.51,49.58,267.922,6.53,65.48339653,25.7249789,0.201626349,8.589998216
5354.2,43.2,17.2,4.1,2.51,48.19,268.065,6.51,65.48339653,25.7249789,0.201626349,8.589998216
5354.4,43.4,17.3,5.3,2.51,51.82,267.922,6.47,65.48339653,25.7249789,0.201626349,8.589998216
5354.6,43.6,17.4,6.1,2.51,53.17,267.922,6.34,65.48339653,25.7249789,0.201626349,8.589998216
5354.8,43.8,17.5,7,2.5,52.09,267.922,6.44,65.48339653,25.7249789,0.201626349,8.589998216
5355,44,17.6,6.3,2.5,46.91,267.922,6.3,71.09663518,22.66312167,0.103620147,6.136623005
5355.2,44.2,17.7,4.8,2.5,49.95,268.065,6.21,71.09663518,22.66312167,0.103620147,6.136623005
5355.4,44.4,17.8,4.8,2.5,56.11,267.922,6.48,71.09663518,22.66312167,0.103620147,6.136623005
5355.6,44.6,17.8,5.6,2.5,58.83,267.922,6.52,71.09663518,22.66312167,0.103620147,6.136623005
5355.8,44.8,18,6.8,2.49,53.9,267.922,6.48,71.09663518,22.66312167,0.103620147,6.136623005
5356,45,18,5.2,2.49,49.12,267.922,6.53,73.15199206,20.9392757,0.053298864,5.855433379
5356.2,45.2,18.1,5.3,2.49,48.26,267.922,6.48,73.15199206,20.9392757,0.053298864,5.855433379
5356.4,45.4,18.2,3.2,2.5,51.46,267.922,6.69,73.15199206,20.9392757,0.053298864,5.855433379
5356.6,45.6,18.3,4,2.5,56.09,267.922,6.69,73.15199206,20.9392757,0.053298864,5.855433379
5356.8,45.8,18.3,5.6,2.5,57.43,267.922,6.39,73.15199206,20.9392757,0.053298864,5.855433379
5357,46,18.5,8.7,2.49,58.39,267.922,6.55,72.66876596,22.32442873,0.146156614,4.860648699
5357.2,46.2,18.6,4.2,2.49,52.78,267.922,6.59,72.66876596,22.32442873,0.146156614,4.860648699
5357.4,46.4,18.6,3.9,2.49,51.75,267.922,6.56,72.66876596,22.32442873,0.146156614,4.860648699
5357.6,46.6,18.7,3.3,2.49,55.65,268.065,6.55,72.66876596,22.32442873,0.146156614,4.860648699
5357.8,46.8,18.8,5.1,2.49,61.11,267.922,6.42,72.66876596,22.32442873,0.146156614,4.860648699
5358,47,18.9,5.9,2.49,62.11,267.922,6.56,70.7400143,24.42475959,0.095929443,4.73929667
5358.2,47.2,19,6.7,2.49,57.52,267.922,6.62,70.7400143,24.42475959,0.095929443,4.73929667
5358.4,47.4,19.1,5.4,2.49,55.16,267.922,6.42,70.7400143,24.42475959,0.095929443,4.73929667
5358.6,47.6,19.2,6.2,2.48,57.57,267.922,6.65,70.7400143,24.42475959,0.095929443,4.73929667
5358.8,47.8,19.3,7.8,2.48,16.96,234.898,5.36,70.7400143,24.42475959,0.095929443,4.73929667
5359,48,19.4,4.6,2.48,44.8,268.923,6.47,66.50089162,26.52819339,0.084922432,6.885992554
5359.2,48.2,19.5,8.6,2.47,50.55,268.923,6.42,66.50089162,26.52819339,0.084922432,6.885992554
